DATA,DESPESA,competencia
2019-08-31,416.0,03-2023
2019-09-30,0.0,03-2023
2019-10-31,0.0,03-2023
2019-11-30,305.09000000000003,03-2023
2019-12-31,1096.6,03-2023
2020-01-31,2033.41,03-2023
2020-02-29,5841.84,03-2023
2020-03-31,1348.39,03-2023
2020-04-30,223.29,03-2023
2020-05-31,1762.61,03-2023
2020-06-30,371.6,03-2023
2020-07-31,3014.49,03-2023
2020-08-31,4376.7699999999995,03-2023
2020-09-30,1355.0,03-2023
2020-10-31,478.51,03-2023
2020-11-30,6467.799999999999,03-2023
2020-12-31,3379.56,03-2023
2021-01-31,2647.2799999999997,03-2023
2021-02-28,4877.8,03-2023
2021-03-31,0.0,03-2023
2021-04-30,2169.65,03-2023
2021-05-31,1996.29,03-2023
2021-06-30,3518.28,03-2023
2021-07-31,868.1700000000001,03-2023
2021-08-31,4106.34,03-2023
2021-09-30,5805.68,03-2023
2021-10-31,8844.05,03-2023
2021-11-30,20762.16,03-2023
2021-12-31,4918.01,03-2023
2022-01-31,2800.83,03-2023
2022-02-28,7095.93,03-2023
2022-03-31,500.84,03-2023
2022-04-30,187.04,03-2023
2022-05-31,6675.91,03-2023
2022-06-30,17666.47,03-2023
2022-07-31,7841.73,03-2023
2022-08-31,12517.84,03-2023
2022-09-30,5583.81,03-2023
2022-10-31,8313.02,03-2023
2022-11-30,16281.150000000001,03-2023
2022-12-31,28393.93,03-2023
2023-01-31,68554.04,03-2023
2023-02-28,127468.1,03-2023
2023-03-31,3957378.59,03-2023
2006-11-30,113.4,04-2023
2006-12-31,3074.0899999999997,04-2023
2007-01-31,1747.37,04-2023
2007-02-28,0.0,04-2023
2007-03-31,2346.06,04-2023
2007-04-30,415.8,04-2023
2007-05-31,594.48,04-2023
2007-06-30,389.79,04-2023
2007-07-31,422.08,04-2023
2007-08-31,0.0,04-2023
2007-09-30,0.0,04-2023
2007-10-31,155.6,04-2023
2007-11-30,0.0,04-2023
2007-12-31,32.63,04-2023
2008-01-31,0.0,04-2023
2008-02-29,0.0,04-2023
2008-03-31,40.0,04-2023
2008-04-30,0.0,04-2023
2008-05-31,0.0,04-2023
2008-06-30,0.0,04-2023
2008-07-31,0.0,04-2023
2008-08-31,0.0,04-2023
2008-09-30,0.0,04-2023
2008-10-31,84.0,04-2023
2008-11-30,42.0,04-2023
2008-12-31,875.0,04-2023
2009-01-31,293.41999999999996,04-2023
2009-02-28,0.0,04-2023
2009-03-31,0.0,04-2023
2009-04-30,42.0,04-2023
2009-05-31,0.0,04-2023
2009-06-30,0.0,04-2023
2009-07-31,0.0,04-2023
2009-08-31,900.0,04-2023
2009-09-30,0.0,04-2023
2009-10-31,646.68,04-2023
2009-11-30,351.1,04-2023
2009-12-31,0.0,04-2023
2010-01-31,3007.06,04-2023
2010-02-28,0.0,04-2023
2010-03-31,0.0,04-2023
2010-04-30,1027.72,04-2023
2010-05-31,0.0,04-2023
2010-06-30,32.25,04-2023
2010-07-31,0.0,04-2023
2010-08-31,0.0,04-2023
2010-09-30,174.03,04-2023
2010-10-31,236.87,04-2023
2010-11-30,80.1,04-2023
2010-12-31,119.68,04-2023
2011-01-31,0.0,04-2023
2011-02-28,4091.58,04-2023
2011-03-31,0.0,04-2023
2011-04-30,247.79999999999998,04-2023
2011-05-31,40.94,04-2023
